HJ,CJ,S3,10
H2,HT,H9,21
D7,CQ,S3,10
H7,S9,S4,13
CQ,CT,S8,20
C6,CA,S3,17
CQ,ST,DK,10
C6,CJ,HK,16
S7,C9,DA,11
H3,S5,S4,9
H2,C7,HJ,12
CT,ST,D4,10
H4,DK,HK,14
H2,D7,D4,11
CJ,S9,S5,14
C4,SK,C9,13
HK,H5,HJ,25
S2,S4,CK,10
DA,DK,DK,31
S9,C2,DT,10
S7,HQ,D9,10
DA,DJ,CA,21
H2,ST,D5,10
S9,DK,S2,11
DK,D9,HQ,19
D2,C2,S6,6
HT,DK,D9,19
CQ,SK,D8,10
HK,C5,C5,10
C5,D2,CQ,15
C7,H4,H3,7
H3,CQ,S9,10
DQ,H9,ST,10
SQ,H5,C7,10
H3,DK,S4,10
D2,C7,SA,11
D2,S6,HK,10
D3,S3,DQ,13
D3,S3,C8,8
D9,S8,D3,12
DA,CQ,D3,14
H9,D9,H4,13
DT,D8,C2,18
H6,S2,CJ,10
C8,D6,C9,17
C3,S9,D5,9
SA,H5,H2,11
D7,CQ,C4,14
CT,SJ,S5,15
S6,CQ,S7,13
DT,D4,C4,14
D4,ST,D7,11
H2,S6,D2,6
D7,C5,HK,10
DQ,H5,H7,12
HA,SA,HJ,21
S4,DQ,C9,10
H2,DQ,C7,10
C7,ST,CT,17
SA,D2,HK,11
C6,H5,C9,15
H9,S5,DK,10
SA,SK,H9,21
C4,SJ,C2,10
D8,H9,HJ,19
C2,H2,DT,10
H6,H5,D8,11
S8,S8,DT,16
H8,H6,HQ,24
D8,CA,H7,11
C6,DJ,CA,17
C2,CK,H3,12
SQ,SQ,H7,20
H7,C4,C6,10
CT,D2,S3,10
D2,C2,HQ,10
D7,DK,DA,28
C3,H7,S2,7
H7,D5,HK,17
DJ,H3,HJ,13
C2,S6,S3,9
H6,H3,H6,15
SJ,S4,H4,14
CQ,S7,S3,10
ST,DJ,C7,10
S2,CA,S5,11
CK,HQ,DK,10
CT,DQ,S7,10
S8,C8,DA,11
S8,H3,D2,8
H4,C2,C9,11
DJ,S9,C6,10
C5,D2,S2,5
H7,S6,SK,16
ST,SQ,CJ,20
HJ,H6,HQ,26
D5,CT,SQ,10
C5,DQ,H7,10
DQ,D9,C8,19
H8,CQ,DJ,10
H5,DJ,DJ,20
CQ,S9,D9,10
S4,CK,S7,11
SA,H7,H7,14
C9,DK,C2,11
S7,S5,HJ,12
D7,H8,S6,8
CK,H4,S4,10
D7,SJ,S2,12
D4,DK,H3,14
D4,S2,H6,6
S5,S5,ST,20
S2,DA,H3,11
C3,H6,S8,8
C6,CJ,D4,16
S6,S3,H3,9
H6,D6,H8,14
D4,HK,C6,10
DA,D3,HQ,14
C8,CA,S8,19
D6,S5,HJ,10
H3,H6,CK,10
ST,SJ,ST,30
S5,CT,SA,16
H2,SJ,C9,10
SQ,DQ,S9,19
D6,CK,DT,16
CT,S9,H3,10
DT,HA,H4,15
H2,C8,SK,10
S5,H3,S6,11
SA,SQ,C2,21
H6,D8,H3,9
H7,H2,DJ,10
S6,HA,S2,11
D7,CQ,H7,10
C4,CT,DA,14
D9,H5,CA,11
HK,H6,C4,16
H2,D3,C6,6
H2,H4,C9,9
S2,CK,CA,21
H4,S7,H7,11
SA,D4,D4,11
C5,CK,SQ,15
S8,C3,HT,10
DK,D5,H6,15
C9,HT,S5,10
CQ,D8,S6,10
HQ,C7,HK,20
HA,SA,CQ,11
CJ,DK,CQ,20
D2,CJ,D8,10
CK,S7,S3,10
ST,DA,HK,11
CA,D2,CK,21
SQ,S7,D3,17
C8,CA,S9,19
SJ,SQ,DK,20
H9,DA,H2,11
HT,CQ,C6,16
DQ,C6,D3,13
DA,SQ,SJ,20
S4,H2,H9,11
C5,C3,C6,14
D4,S6,S7,13
SJ,S7,HT,17
SK,DK,HT,10
SJ,ST,HA,20
C9,C3,HQ,12
H2,S4,S2,6
