1. Card,2. Card,3. Card,Hand Value
D4,C9,SQ,10
HA,HK,DJ,21
DT,DK,DQ,30
S5,D5,HQ,10
H4,H4,CK,10
HK,C3,D6,10
CT,CQ,D4,20
C3,H6,HQ,16
D3,D7,H2,10
C9,C7,S6,16
C7,H4,C3,10
C6,H8,SJ,10
S6,H4,H6,10
S2,C6,S8,10
C5,DJ,SA,11
DJ,H4,C7,10
S2,D2,H8,8
HK,D8,C8,10
CJ,D7,D8,15
SQ,DT,CK,10
D6,D7,HK,13
CT,HJ,S9,10
H6,ST,DK,10
D9,H3,SK,10
CJ,C2,S5,12
H4,D2,CJ,10
CT,H6,HA,17
SA,D3,C8,11
C8,H6,D8,8
H4,CQ,S5,10
H8,CJ,SJ,10
CK,HT,DK,10
D7,H5,H5,10
S9,S8,S6,23
S6,HJ,ST,16
H8,H3,CJ,11
S5,CA,SJ,15
C8,C8,D8,16
S8,C9,CQ,19
HA,CT,D2,11
C2,CA,CJ,23
H7,DK,D7,17
SK,H9,CA,11
D8,C2,HQ,10
D2,ST,H3,10
S3,DJ,S5,10
ST,H9,HA,20
D9,S6,H3,9
H9,CJ,D4,10
DQ,HK,S8,10
S9,SK,CQ,19
DK,S9,SQ,19
D7,S9,HA,11
C5,D6,HT,10
H3,HQ,C2,13
DQ,D2,C5,12
D9,HK,HT,20
HA,C7,D7,11
C7,D3,C3,10
D5,S6,S3,9
C3,H4,CK,13
DK,S9,HK,10
SK,HA,DA,11
C3,HQ,SA,11
DT,HQ,CT,10
H5,C7,DJ,10
D9,SK,D3,12
DJ,D3,DT,23
CT,HQ,ST,10
H4,C2,D6,6
C2,D3,HK,10
HK,H8,D4,18
DQ,SA,D6,16
D5,CQ,HQ,10
SJ,D5,D9,14
C4,CT,C8,22
SQ,C7,SA,21
H8,C2,CK,12
ST,CQ,DJ,10
CK,S2,CA,21
HJ,S6,D6,10
D9,S6,SQ,16
C9,CT,C4,23
ST,HK,H9,19
SQ,H4,HA,15
S7,H6,D7,7
CJ,SQ,HT,10
HA,H9,C4,20
D7,D3,D6,16
S3,SA,CK,14
H8,D4,DJ,14
HQ,H5,S4,15
C5,C7,CK,22
S2,SQ,H6,12
HK,SK,CA,11
DK,HK,D2,12
S5,HJ,C9,10
S2,DQ,D7,17
C5,CA,DJ,16
C5,SA,C9,14
S7,SJ,HA,17
C9,C3,D9,12
C8,S2,D2,8
H9,SQ,SJ,20
CT,CJ,S8,20
HQ,C8,H2,12
H8,C7,DA,11
D4,HT,D4,10
S2,S7,S8,17
S9,HJ,S6,15
SK,SQ,HK,20
CQ,HK,HA,21
SK,HQ,SJ,20
DK,C3,C6,10
DQ,SA,H9,11
DJ,S9,H3,10
D6,SQ,C8,10
C5,H4,ST,10
SQ,H4,SA,21
ST,HJ,HJ,20
SQ,S2,SK,22
D2,S8,HA,11
CQ,H9,CK,20
DK,H9,H9,18
D9,S4,S4,9
HT,HJ,D8,20
DK,HT,HK,20
CJ,D6,S9,10
DT,C9,D5,15
S3,C7,CK,17
CJ,H6,DQ,10
CA,C6,H4,17
S4,H2,CJ,10
ST,H4,HJ,14
C4,CQ,D7,14
S8,C5,D9,9
DJ,H9,ST,10
CQ,CT,H4,20
D4,HT,H7,17
CK,S9,H9,10
CJ,H6,S7,10
C9,HA,DQ,11
C2,S9,C2,9
DK,S2,D8,18
CA,D8,S6,11
D9,S4,HK,10
S8,D2,S3,11
ST,H8,D5,10
H2,C3,C5,8
H9,S5,SK,15
C6,HK,D3,10
HK,C7,DQ,10
CK,S8,C5,15
C3,S6,DT,10
C8,S7,D8,8
H9,S9,DQ,10
D9,H2,SK,10
D7,H5,DT,17
SQ,S2,HT,12
HT,D3,S7,10
H7,H2,D3,9
C3,ST,DQ,10
D7,C9,SQ,10
HJ,HQ,C2,20
C8,HT,HA,21
C8,S3,H8,8
DQ,S6,S3,10
SA,D9,D9,18
HA,H6,D2,17
CJ,DT,S2,10
SA,D9,C2,11
CK,D2,SJ,10
CK,H6,SJ,10
C7,S5,CJ,17
CT,S4,DT,10
H3,C6,HJ,13
C7,S7,C8,15
DT,HK,SJ,10
DQ,DQ,SQ,20
D6,DQ,D9,25
C7,S7,HT,10
S2,CQ,CA,21
H4,S3,H5,9
D6,C4,S5,6
DQ,S8,C9,10
S4,CK,C2,12
HA,H6,H4,21
D3,SJ,HJ,10
C8,C2,H3,10
C8,H4,H4,8
H3,DK,ST,10
HJ,S4,H2,12
DJ,H7,H6,13
S4,H7,D8,8
C5,C8,C2,15
D5,S3,SJ,13
D5,S7,C2,7
C7,D4,DA,15
H5,DQ,C3,10
H2,S6,S6,12
CQ,HK,C6,16
DQ,C3,D6,16
HA,D2,HT,21
D4,CA,D4,11
